id,target,mutants_in_minimal,test_suites,assertions,mutants,killed_mutants,not_equivalent_mutants,%,differential_success,minimal,survive,killed,equivalent,class,method,line,column,project
245,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.bloomfilter.hasher.Shape,equals(java.lang.Object),128,0,commons-collections
246,exp,1,1,1,1,1,1,1.0,True,LOI ~exp,,LOI ~exp,,org.apache.commons.collections4.bloomfilter.hasher.Shape,,33,0,commons-collections
247,if_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.bloomfilter.hasher.Shape,checkCalculatedProbability(double),110,0,commons-collections
249,return_stm,2,2,2,2,2,2,1.0,True,SDL,SDL,,SDL,SDL,,org.apache.commons.collections4.bloomfilter.hasher.Shape,equals(java.lang.Object),commons-collections
251,lexp && rexp,4,4,4,9,9,9,1.0,True,ODL lexp,COR false,COR ==,ODL rexp,,COR false,COR ==,ODL rexp,commons-collections
254,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.bloomfilter.hasher.Shape,generateHashCode(),138,0,commons-collections
256,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.bloomfilter.hasher.Shape,checkNumberOfBits(int),88,0,commons-collections
266,if_stm,2,2,2,2,2,2,1.0,True,SDL,SDL,,SDL,SDL,,org.apache.commons.collections4.bloomfilter.hasher.Shape,checkNumberOfHashFunctions(int),commons-collections
267,lexp * rexp,3,3,3,8,8,8,1.0,True,ODL rexp,AORB /,ODL lexp,,AORB /,AORB -,AORB +,VDL rexp,commons-collections
268,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.bloomfilter.hasher.Shape,getProbability(),163,0,commons-collections
269,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.bloomfilter.hasher.Shape,calculateNumberOfHashFunctions(int,int),119,commons-collections
256,lexp == rexp,3,3,3,8,8,8,1.0,True,ROR >=,ROR false,ROR <=,,COI !(),ROR >,ROR <,ROR false,commons-collections
258,stm_list,2,2,2,2,2,2,1.0,True,SDL,SDL,,SDL,SDL,,org.apache.commons.collections4.bloomfilter.hasher.function.ObjectsHashIterative,apply(byte,commons-collections
262,lhs += rhs,4,4,4,6,6,6,1.0,True,SDL,ODL lexp = rexp,ASRS -=,ASRS %=,,ODL lexp = rexp,ASRS /=,ASRS %=,commons-collections
263,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.bloomfilter.hasher.function.ObjectsHashIterative,getName(),38,0,commons-collections
265,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.bloomfilter.hasher.function.ObjectsHashIterative,getProvider(),48,0,commons-collections
266,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.bloomfilter.hasher.function.ObjectsHashIterative,apply(byte,int),33,commons-collections
267,lexp + rexp,3,3,3,6,6,6,1.0,True,ODL lexp,ODL rexp,AORB %,,AORB %,AORB -,AORB *,AORB /,commons-collections
269,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.bloomfilter.hasher.function.Signatures,getSignature(org.apache.commons.collections4.bloomfilter.hasher.HashFunction),21,0,commons-collections
270,exp,1,1,1,1,1,1,1.0,True,COI !exp,,COI !exp,,org.apache.commons.collections4.comparators.BooleanComparator,,44,0,commons-collections
271,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.comparators.BooleanComparator,hashCode(),58,0,commons-collections
273,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.comparators.BooleanComparator,compare(java.lang.Boolean,java.lang.Boolean),52,commons-collections
275,-exp,1,1,1,2,2,2,1.0,True,AODU exp,,ODL exp,AODU exp,,org.apache.commons.collections4.comparators.BooleanComparator,compare(java.lang.Boolean,java.lang.Boolean),commons-collections
276,lexp ^ rexp,2,2,2,11,10,11,0.9090909090909091,True,COR false,COR ||,COR !=,COR false,COR ==,ODL lexp,COR &&,COI !(),commons-collections
277,exp,1,1,1,1,1,1,1.0,True,COI !exp,,COI !exp,,org.apache.commons.collections4.comparators.BooleanComparator,equals(java.lang.Object),62,0,commons-collections
281,lexp ^ rexp,2,2,2,11,10,11,0.9090909090909091,True,COR false,COR ||,COR !=,COR true,VDL lexp,COI !(),ODL rexp,ODL lexp,commons-collections
283,exp,1,1,1,1,1,1,1.0,True,COI !exp,,COI !exp,,org.apache.commons.collections4.comparators.BooleanComparator,compare(java.lang.Boolean,java.lang.Boolean),51,commons-collections
284,exp,1,1,1,1,1,1,1.0,True,COI !exp,,COI !exp,,org.apache.commons.collections4.comparators.BooleanComparator,compare(java.lang.Boolean,java.lang.Boolean),51,commons-collections
285,lexp == rexp,1,1,1,2,2,2,1.0,True,ROR !=,,COI !(),ROR !=,,org.apache.commons.collections4.comparators.BooleanComparator,equals(java.lang.Object),62,commons-collections
288,exp,1,1,1,1,1,1,1.0,True,COI !exp,,COI !exp,,org.apache.commons.collections4.comparators.BooleanComparator,compare(java.lang.Boolean,java.lang.Boolean),51,commons-collections
290,exp,1,1,1,1,1,1,1.0,True,COI !exp,,COI !exp,,org.apache.commons.collections4.comparators.BooleanComparator,compare(java.lang.Boolean,java.lang.Boolean),51,commons-collections
295,lexp == rexp,1,1,1,2,2,2,1.0,True,ROR !=,,COI !(),ROR !=,,org.apache.commons.collections4.comparators.ComparableComparator,equals(java.lang.Object),40,commons-collections
301,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.comparators.ComparableComparator,compare(E,E),31,commons-collections
303,exp,1,1,1,1,1,1,1.0,True,COI !exp,,COI !exp,,org.apache.commons.collections4.comparators.NullComparator,,40,0,commons-collections
304,if_stm,2,2,2,2,2,2,1.0,True,SDL,SDL,,SDL,SDL,,org.apache.commons.collections4.comparators.NullComparator,compare(E,commons-collections
306,exp,1,1,1,1,1,1,1.0,True,COI !exp,,COI !exp,,org.apache.commons.collections4.comparators.NullComparator,compare(E,E),49,commons-collections
307,if_stm,2,2,2,2,2,2,1.0,True,SDL,SDL,,SDL,SDL,,org.apache.commons.collections4.comparators.NullComparator,compare(E,commons-collections
308,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.comparators.NullComparator,compare(E,E),55,commons-collections
309,lexp == rexp,1,1,1,2,2,2,1.0,True,ROR !=,,COI !(),ROR !=,,org.apache.commons.collections4.comparators.NullComparator,compare(E,E),commons-collections
310,exp,1,1,1,1,1,1,1.0,True,COI !exp,,COI !exp,,org.apache.commons.collections4.comparators.NullComparator,,34,0,commons-collections
313,lexp == rexp,1,1,1,2,2,2,1.0,True,ROR !=,,COI !(),ROR !=,,org.apache.commons.collections4.comparators.NullComparator,compare(E,E),commons-collections
314,lexp == rexp,1,1,1,2,2,2,1.0,True,ROR !=,,ROR !=,COI !(),,org.apache.commons.collections4.comparators.NullComparator,equals(java.lang.Object),64,commons-collections
316,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.comparators.NullComparator,equals(java.lang.Object),72,0,commons-collections
317,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.comparators.NullComparator,equals(java.lang.Object),66,0,commons-collections
319,-exp,1,1,1,2,2,2,1.0,True,AODU exp,,ODL exp,AODU exp,,org.apache.commons.collections4.comparators.NullComparator,compare(E,E),commons-collections
321,exp,1,1,1,1,1,1,1.0,True,COI !exp,,COI !exp,,org.apache.commons.collections4.comparators.NullComparator,compare(E,E),52,commons-collections
324,stm_list,2,2,2,2,2,2,1.0,True,SDL,SDL,,SDL,SDL,,org.apache.commons.collections4.comparators.NullComparator,equals(java.lang.Object),commons-collections
325,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.comparators.NullComparator,compare(E,E),53,commons-collections
326,lexp == rexp,1,1,1,2,2,2,1.0,True,ROR !=,,COI !(),ROR !=,,org.apache.commons.collections4.comparators.NullComparator,equals(java.lang.Object),67,commons-collections
327,lexp == rexp,1,1,1,2,2,2,1.0,True,ROR !=,,ROR !=,COI !(),,org.apache.commons.collections4.comparators.NullComparator,compare(E,E),commons-collections
328,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.comparators.NullComparator,equals(java.lang.Object),69,0,commons-collections
329,-exp,1,1,1,2,2,2,1.0,True,AODU exp,,ODL exp,AODU exp,,org.apache.commons.collections4.comparators.NullComparator,compare(E,E),commons-collections
331,stm_list,2,2,2,2,2,2,1.0,True,SDL,SDL,,SDL,SDL,,org.apache.commons.collections4.comparators.NullComparator,compare(E,commons-collections
332,lexp * rexp,2,2,2,2,2,2,1.0,True,ODL lexp,ODL rexp,,ODL lexp,ODL rexp,,org.apache.commons.collections4.comparators.NullComparator,hashCode(),commons-collections
334,exp,1,1,1,1,1,1,1.0,True,COI !exp,,COI !exp,,org.apache.commons.collections4.comparators.NullComparator,equals(java.lang.Object),74,0,commons-collections
335,exp,1,1,1,1,1,1,1.0,True,COI !exp,,COI !exp,,org.apache.commons.collections4.comparators.NullComparator,hashCode(),59,0,commons-collections
336,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.comparators.NullComparator,compare(E,E),50,commons-collections
336,lexp == rexp,1,1,1,2,2,2,1.0,True,ROR !=,,COI !(),ROR !=,,org.apache.commons.collections4.comparators.ReverseComparator,equals(java.lang.Object),41,commons-collections
338,lexp == rexp,1,1,1,2,2,2,1.0,True,ROR !=,,COI !(),ROR !=,,org.apache.commons.collections4.comparators.ReverseComparator,equals(java.lang.Object),44,commons-collections
339,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.comparators.ReverseComparator,equals(java.lang.Object),52,0,commons-collections
340,if_stm,2,2,2,2,2,2,1.0,True,SDL,SDL,,SDL,SDL,,org.apache.commons.collections4.comparators.ReverseComparator,equals(java.lang.Object),commons-collections
341,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.comparators.ReverseComparator,equals(java.lang.Object),43,0,commons-collections
342,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.comparators.ReverseComparator,compare(E,E),32,commons-collections
343,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.comparators.ReverseComparator,hashCode(),37,0,commons-collections
344,stm_list,2,2,2,2,2,2,1.0,True,SDL,SDL,,SDL,SDL,,org.apache.commons.collections4.comparators.ReverseComparator,equals(java.lang.Object),commons-collections
345,return_stm,2,2,2,2,2,2,1.0,True,SDL,SDL,,SDL,SDL,,org.apache.commons.collections4.comparators.ReverseComparator,equals(java.lang.Object),commons-collections
346,lexp == rexp,1,1,1,2,2,2,1.0,True,ROR !=,,COI !(),ROR !=,,org.apache.commons.collections4.comparators.ReverseComparator,,26,commons-collections
347,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.comparators.ReverseComparator,equals(java.lang.Object),46,0,commons-collections
351,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.comparators.TransformingComparator,equals(java.lang.Object),61,0,commons-collections
354,return_stm,1,1,1,1,1,1,1.0,True,SDL,,SDL,,org.apache.commons.collections4.comparators.TransformingComparator,equals(java.lang.Object),55,0,commons-collections
355,if_stm,2,2,2,2,2,2,1.0,True,SDL,SDL,,SDL,SDL,,org.apache.commons.collections4.comparators.TransformingComparator,equals(java.lang.Object),commons-collections
362,lexp == rexp,1,1,1,2,2,2,1.0,True,ROR !=,,COI !(),ROR !=,,org.apache.commons.collections4.comparators.TransformingComparator,equals(java.lang.Object),58,commons-collections
363,lexp == rexp,1,1,1,3,3,3,1.0,True,ROR !=,,ODL lexp,ROR !=,COI !(),,org.apache.commons.collections4.comparators.TransformingComparator,equals(java.lang.Object),commons-collections
